medlemmer,n,medlemmer_short_party,medlemmer_short
"Kst. ankechef, cand. jur., fhv. minister Karl Lauritsen Hjortnæs. (S)",1,Lauritsen Hjortnæs. (S),Lauritsen Hjortnæs
Landbrugs- og fiskeriminister Niels Anker Kofoed. (V),1,Anker Kofoed. (V),Anker Kofoed
Landbrugs- og fiskeriminister Poul Christian Dalsager. (S),1,Christian Dalsager. (S),Christian Dalsager
Landbrugsminister Bjørn Rømer Westh. (S),1,Rømer Westh. (S),Rømer Westh
Landbrugsminister Niels Anker Kofoed. (V),1,Anker Kofoed. (V),Anker Kofoed
Landìnspektør Bjørn Rømer Westh. (S),1,Rømer Westh. (S),Rømer Westh
Landsstyresmand/forsikringsfuldmægtig Jacob Lindenskov. (Valgt af socialdemokratiet). (S),1,NA,NA
Landsstyresmand/forsikringsfuldmægtig Jåkup Lindenskov. (Valgt af socialdemokratiet). (S),1,NA,NA
Lektor Cristian Arnfast. (CD),1,Cristian Arnfast. (CD),Cristian Arnfast
Lektor Steen Folke. (VS),1,Steen Folke. (VS),Steen Folke
"Lektor, cand. polit. Oie Flygaard. (DR)",1,Oie Flygaard. (DR),Oie Flygaard
Luftkaptajn i SAS Palle Hölge. (FP),1,NA,NA
Luftkaptajn Palle Helge. (FP),1,Palle Helge. (FP),Palle Helge
Luftkaptajn Palle Holge. (FP),1,Palle Holge. (FP),Palle Holge
Læge Finnùr Erlendsson. (FP),1,NA,NA
Lærer Ole Johannes Kjolmor Sem Berglund (UP),1,NA,NA
Lærerstuderende Pelle Voigt. (SF),1,Pelle Voigt. (SF),Pelle Voigt
Matros Tommy Lindberg Dinesen. (SF),1,Lindberg Dinesen. (SF),Lindberg Dinesen
Miljøminister og minister for Grønland Erik Holger Hansen. (V),1,Holger Hansen. (V),Holger Hansen
Minister for Grønland Jørgen Peder Hansen. (S),1,Peder Hansen. (S),Peder Hansen
Minister for kulturelle anliggender Niéls Peter Jacob Matthiasen. (S),1,Jacob Matthiasen. (S),Jacob Matthiasen
Minister for kulturelle anliggender og minister for nordiske anliggender Lise Østergaard. (S),1,Lise Østergaard. (S),Lise Østergaard
Minister for offentlige arbejder Knud Rasmussen Heinesen. (S),1,Rasmussen Heinesen. (S),Rasmussen Heinesen
Minister uden portefølje Lise Østergaard. (S),1,Lise Østergaard. (S),Lise Østergaard
Minister uden portefølje Per Christian Hækkerup. (S),1,Christian Hækkerup. (S),Christian Hækkerup
Organisationssekretær Søren Preben Hansen. (S),1,Preben Hansen. (S),Preben Hansen
Overlærer Alfred Hansen. (DR),1,Alfred Hansen. (DR),Alfred Hansen
Overlærer Alfred Hansen.. (DR),1,NA,NA
Politiassistent Frode Nør Christensen. (CD),1,Nør Christensen. (CD),Nør Christensen
Professor Eggert Petersen. (S),1,Eggert Petersen. (S),Eggert Petersen
"Professor, fhv. minister Poul Frode Nyboe Andersen. (V)",1,Nyboe Andersen. (V),Nyboe Andersen
Psykoteknìker Ib Christensen. (DR),1,Ib Christensen. (DR),Ib Christensen
Pædagog Kirsten Fog Hjort. (SF),1,Fog Hjort. (SF),Fog Hjort
Redaktør Jens Peter Jensen. (Y),1,Peter Jensen. (Y),Peter Jensen
Redaktør Niels Kallesøe. (KF),1,Niels Kallesøe. (KF),Niels Kallesøe
"Redaktør, cand. jur. Bjørn Erik Elrnquist. (V)",1,Erik Elrnquist. (V),Erik Elrnquist
Rejsesekretær Carit Enevoldsen. (S),1,Carit Enevoldsen. (S),Carit Enevoldsen
Sekretær Bente Juncker. (CD),1,Bente Juncker. (CD),Bente Juncker
"Sekretær Kirsten Andersen, (S)",1,NA,NA
"Sekretær, cand. polit. Peter Brixtofte. (V)",1,Peter Brixtofte. (V),Peter Brixtofte
Seminarielærer Asbjørn Agerschou. (SF),1,Asbjørn Agerschou. (SF),Asbjørn Agerschou
Seminarielærer Bertel Geismar Haarder. (V),1,Geismar Haarder. (V),Geismar Haarder
Seminarielærer Ebba Marie Strange. (SF),1,Marie Strange. (SF),Marie Strange
"Seminarielærer, forfatter Bertel Geismar Rårder. (V)",1,Geismar Rårder. (V),Geismar Rårder
Socialminister Eva Wilhelmsson Grcdal. (S),1,Wilhelmsson Grcdal. (S),Wilhelmsson Grcdal
Socialminister Eva Wilhelmsson Gredal. (S),1,Wilhelmsson Gredal. (S),Wilhelmsson Gredal
Socialrådgiver Alice Marie Faber. (SF),1,Marie Faber. (SF),Marie Faber
Socialrådgiver Birthe Hansen. (SF),1,Birthe Hansen. (SF),Birthe Hansen
Sognepræst Johan Christian Nielsen. (Valgt af socialdeinökratiet). (S),1,NA,NA
Sognepræst Johan Christian Nielsen. (Valgt af socialdemoiITatiet). (S),1,NA,NA
Speditør Carl August Hahn. (CD),1,August Hahn. (CD),August Hahn
Statsminister Poul Hartling. (V),1,Poul Hartling. (V),Poul Hartling
Statsrevisor Bernhard Baunsgaard. (RV),1,Bernhard Baunsgaard. (RV),Bernhard Baunsgaard
"Statsrevisor, cand. polit. Henning Christophersen. (V)",1,Henning Christophersen. (V),Henning Christophersen
Stud. mag. Tove Neumann Jørgensen. (DKP),1,Neumann Jørgensen. (DKP),Neumann Jørgensen
Sølvsmed Søren Preben Hansen. (S),1,Preben Hansen. (S),Preben Hansen
Teaterarbejder Litten Hansen (VS),1,NA,NA
Toldkontrollør Jørgen Peder Hansen. (S),1,Peder Hansen. (S),Peder Hansen
Trafikkontrollør Søren Martinus Jensen. (8),1,Martinus Jensen. (8),Martinus Jensen
Trafikkontrollør Søren Martinus Jensen. (S),1,Martinus Jensen. (S),Martinus Jensen
Typograf Karl Møller. (DKP),1,Karl Møller. (DKP),Karl Møller
Udenrigsminister Henning Christophersen. (V),1,Henning Christophersen. (V),Henning Christophersen
Udenrigsminister Ove Guldberg. (V),1,Ove Guldberg. (V),Ove Guldberg
Undervisningsminister Tove Nielsen. (V),1,Tove Nielsen. (V),Tove Nielsen
Ungdomsskoleinspektør Ole Løvig Simonsen. (S),1,Løvig Simonsen. (S),Løvig Simonsen
Viceborgmester Lizzie Bergmann Lichtenberg. (KF),1,Bergmann Lichtenberg. (KF),Bergmann Lichtenberg
Virksomhedsejer Svend Aage Heiselberg. (V),1,Aage Heiselberg. (V),Aage Heiselberg
Vurderingsformand Karl Jakob Nielsen. (S),1,Jakob Nielsen. (S),Jakob Nielsen
Økonomiminister Ivar Nørgaard. (S),1,Ivar Nørgaard. (S),Ivar Nørgaard
Økonomiminister og handelsminister Per Christen Hækkerup. (S),1,Christen Hækkerup. (S),Christen Hækkerup
Økonomiminister og handelsminister Poul Frode Nyboe Andersen. (V),1,Nyboe Andersen. (V),Nyboe Andersen
Økonomiminister og miljøminister Ivar Nørgaard. (S),1,Ivar Nørgaard. (S),Ivar Nørgaard
Økonomiminister Per Christen Hækkerup. (S),1,Christen Hækkerup. (S),Christen Hækkerup
Økonomiminister Per Christian Hækkerup. (S),1,Christian Hækkerup. (S),Christian Hækkerup
