medlemmer,n,medlemmer_short_party,medlemmer_short
Kriminalassistent Poul Hjalmar Møller. (KrF),6,Hjalmar Møller. (KrF),Hjalmar Møller
Landmand Hans Buchart Ambjerg Petersen. (S),6,Ambjerg Petersen. (S),Ambjerg Petersen
Lis Starcke. (DR),6,Lis Starcke. (DR),Lis Starcke
Læge Finnur Erlendsson. (FP),6,Finnur Erlendsson. (FP),Finnur Erlendsson
Lærer Helle Degn. (S),6,Helle Degn. (S),Helle Degn
Lærer Inger Elisabeth Stilling Pedersen. (KrF),6,Stilling Pedersen. (KrF),Stilling Pedersen
Lærer Otto Steenholdt. (Valgt af atåssut),6,NA,NA
Lærerstuderende Søren Nørgaard Sørensen. (S),6,Nørgaard Sørensen. (S),Nørgaard Sørensen
Niels Helveg Petersen. (RV),6,Helveg Petersen. (RV),Helveg Petersen
Overlærer Ralph Lysholt Hansen. (S),6,Lysholt Hansen. (S),Lysholt Hansen
Programsekretær Jimmy Georg Stahr. (S),6,Georg Stahr. (S),Georg Stahr
Psykotekniker Ib Christensen. (DR),6,Ib Christensen. (DR),Ib Christensen
Redaktør Jens Peter Jensen. (V),6,Peter Jensen. (V),Peter Jensen
Redaktør Jes Christian Schmidt. (CD),6,Christian Schmidt. (CD),Christian Schmidt
Salgschef Knud Erik Nauerby. (FP),6,Erik Nauerby. (FP),Erik Nauerby
Sekretær Kaj Hansen. (DKP),6,Kaj Hansen. (DKP),Kaj Hansen
Sekretær Villy Fuglsang. (DKP),6,Villy Fuglsang. (DKP),Villy Fuglsang
Skoleinspektør Hans Ejlert Erenbjerg. (S),6,Ejlert Erenbjerg. (S),Ejlert Erenbjerg
Statsaut. revisor Joen Pauli Højgaard Ellefsen. (Valgt af sambandspartiet). (V),6,NA,NA
Svend Karlskov Jensen. (V),6,Karlskov Jensen. (V),Karlskov Jensen
Cand. oecon. Anders Fogh Rasmussen. (V),5,Fogh Rasmussen. (V),Fogh Rasmussen
Civilingeniør Lone Dybkjær. (RV),5,Lone Dybkjær. (RV),Lone Dybkjær
Direktør Arne Christiansen. (V),5,Arne Christiansen. (V),Arne Christiansen
"Faglig sekretær, elektriker Carl Thio Tyroll. (VS)",5,Thio Tyroll. (VS),Thio Tyroll
Faglærer Børge Bakholt. (S),5,Børge Bakholt. (S),Børge Bakholt
Fhv. minister Erling Kristian Dinesen. (S),5,Kristian Dinesen. (S),Kristian Dinesen
Fhv. minister Kjeld Støttrup Olesen. (S),5,Støttrup Olesen. (S),Støttrup Olesen
Finansminister Knud Rasmussen Heinesen. (S),5,Rasmussen Heinesen. (S),Rasmussen Heinesen
"Folketingets formand, fhv. minister Karl Hansen Skytte. (RV)",5,Hansen Skytte. (RV),Hansen Skytte
Forbundsformand Hans Jørgen Jensen. (S),5,Jørgen Jensen. (S),Jørgen Jensen
Forstander Jeppe Kristensen. (V),5,Jeppe Kristensen. (V),Jeppe Kristensen
Forsvarsminister Poul Søgaard. (S),5,Poul Søgaard. (S),Poul Søgaard
Gårdejer Aksel Pedersen. (V),5,Aksel Pedersen. (V),Aksel Pedersen
Husholdningslærer Tove Lindbo Larsen. (S),5,Lindbo Larsen. (S),Lindbo Larsen
Konsulent René Robert Brusvang. (CD),5,Robert Brusvang. (CD),Robert Brusvang
Kontorchef Preben Steen Nielsen. (S),5,Steen Nielsen. (S),Steen Nielsen
Landinspektør Bjørn Rømer Westh. (S),5,Rømer Westh. (S),Rømer Westh
Omsorgskonsulent Winnie Russell. (S),5,Winnie Russell. (S),Winnie Russell
Partiformand Knud Wagner Jespersen. (DKP),5,Wagner Jespersen. (DKP),Wagner Jespersen
"Professor, dr. polit. Erling Heymann Olsen. (S)",5,Heymann Olsen. (S),Heymann Olsen
Sekretariatschef Arne Stinus. (RV),5,Arne Stinus. (RV),Arne Stinus
Sekretær Aase Olesen. (RV),5,Aase Olesen. (RV),Aase Olesen
Stud. mag. Mimi Vibeke Jakobsen. (CD),5,Vibeke Jakobsen. (CD),Vibeke Jakobsen
Undervisningsminister Ritt Jytte Bjerregaard. (S),5,Jytte Bjerregaard. (S),Jytte Bjerregaard
"Adjunkt, cand. scient. pol. Lars Peter Gammelgaard. (KF)",4,Peter Gammelgaard. (KF),Peter Gammelgaard
Advokat Poul Holmskov Schlüter. (KF),4,NA,NA
"Advokat, statsrevisor Poul Holmskov Schlüter. (KF)",4,NA,NA
Afdelingsleder Yvonne Herløv Andersen. (CD),4,Herløv Andersen. (CD),Herløv Andersen
Arbejdskonsulent Jørgen Frederiksen. (S),4,Jørgen Frederiksen. (S),Jørgen Frederiksen
Bogholder Alice Hedegaard. (DR),4,Alice Hedegaard. (DR),Alice Hedegaard
Boligminister Erling Heymann Olsen. (S),4,Heymann Olsen. (S),Heymann Olsen
Cand. polit. Henning Christophersen. (V),4,Henning Christophersen. (V),Henning Christophersen
Civilingeniør Tage Dræbye. (RV),4,Tage Dræbye. (RV),Tage Dræbye
Civilingeniør Uffe Thorndahl. (FP),4,Uffe Thorndahl. (FP),Uffe Thorndahl
Direktør Ernst Cark Prehn. (CD),4,Cark Prehn. (CD),Cark Prehn
"Direktør, civiløkonom Ib Gunnar Stetter. (KF)",4,Gunnar Stetter. (KF),Gunnar Stetter
Ekspeditionssekretær Ole Thorbjørn Olsen. (SF),4,Thorbjørn Olsen. (SF),Thorbjørn Olsen
Energiminister Poul Nielson. (S),4,Poul Nielson. (S),Poul Nielson
Faglærer Lissa Merethe Mathiasen. (S),4,Merethe Mathiasen. (S),Merethe Mathiasen
Fhv. minister Anders Ejnar Andersen. (V),4,Ejnar Andersen. (V),Ejnar Andersen
Fhv. minister Arne Christiansen. (V),4,Arne Christiansen. (V),Arne Christiansen
Fhv. minister Ivar Christian Hansen. (V),4,Christian Hansen. (V),Christian Hansen
Fhv. minister Jens Kampmann. (S),4,Jens Kampmann. (S),Jens Kampmann
Fhv. minister Knud Rasmussen Heinesen. (S),4,Rasmussen Heinesen. (S),Rasmussen Heinesen
Fhv. minister Tove Nielsen. (V),4,Tove Nielsen. (V),Tove Nielsen
"Fhv. minister, cand. theol. Dorte Marianne Bennedsen. (S)",4,Marianne Bennedsen. (S),Marianne Bennedsen
Fhv. statsminister Poul Hartling. (V),4,Poul Hartling. (V),Poul Hartling
Fiskeriminister Svend Aage Jakobsen. (S),4,Aage Jakobsen. (S),Aage Jakobsen
Grosserer Hans Christian Hansen. (FP),4,Christian Hansen. (FP),Christian Hansen
Indenrigsminister Egon Carlo Larsen Jensen. (S),4,Larsen Jensen. (S),Larsen Jensen
Karl Johan Mortensen. (S),4,Johan Mortensen. (S),Johan Mortensen
Kommitteret Poul Søgaard. (S),4,Poul Søgaard. (S),Poul Søgaard
Konsulent Karen Marie Dahlerup Andersen. (S),4,Dahlerup Andersen. (S),Dahlerup Andersen
"Konsulent, orlogskaptajn John Mogens Arentoft. (FP)",4,Mogens Arentoft. (FP),Mogens Arentoft
"Kontorchef, cand. jur. Agnete Laustsen. (KF)",4,Agnete Laustsen. (KF),Agnete Laustsen
Landmand Børge Harkjær Møller. (FP),4,Harkjær Møller. (FP),Harkjær Møller
Lektor Kjeld Rahbæk Møller. (SF),4,Rahbæk Møller. (SF),Rahbæk Møller
Lærer Bent Wissing. (FP),4,Bent Wissing. (FP),Bent Wissing
Lærer Lars Emil Johansen. (Valgt af siumut). (SF),4,NA,NA
Lærer Marianne Bentsen-Pedersen. (SF),4,NA,NA
Næstformand Ole Henriksen. (SF),4,Ole Henriksen. (SF),Ole Henriksen
Rangermester Jens Peter Jacobsen Lerke. (S),4,Jacobsen Lerke. (S),Jacobsen Lerke
Rådmand Helge Lennart Larson. (V),4,Lennart Larson. (V),Lennart Larson
Sognepræst Johan Christian Nielsen. (Valgt af socialdemokratiet). (S),4,NA,NA
